name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Staphylococcus haemolyticus	1283	species	6578066	46	35	0.0
Staphylococcus hyicus	1284	species	2472129	16	7	0.0
Staphylococcus simulans	1286	species	11178520	38	25	0.0
Staphylococcus xylosus	1288	species	11321211	93	73	0.0
Staphylococcus hominis	1290	species	2253412	32	20	0.0
Staphylococcus warneri	1292	species	2560716	39	23	0.0
Staphylococcus muscae	1294	species	4190247	33	26	0.0
Staphylococcus schleiferi	1295	species	12494798	36	19	0.0
Staphylococcus sciuri	1296	species	2853815	39	28	0.0
Deinococcus	1298	genus	0	1	0	0.0
Deinococcus radiodurans	1299	species	6628921	14	12	0.0
Streptococcaceae	1300	family	0	9	0	0.0
Streptococcus	1301	genus	0	17	3	0.0
Streptococcus gordonii	1302	species	5507044	40	23	0.0
Streptococcus oralis	1303	species	2622604	34	18	0.0
Streptococcus salivarius	1304	species	5867551	83	46	0.0
Streptococcus sanguinis	1305	species	2388435	21	13	0.0
Streptococcus suis	1307	species	3647182	66	45	0.0
Streptococcus thermophilus	1308	species	5060673	39	23	0.0
Streptococcus mutans	1309	species	2365621	24	17	0.0
Streptococcus agalactiae	1311	species	11084941	459	228	0.0
Streptococcus pneumoniae	1313	species	3095035	44	25	0.0
Streptococcus pyogenes	1314	species	5095760	87	57	0.0
Streptococcus parasanguinis	1318	species	2162630	18	10	0.0
Streptococcus sp. 'group B'	1319	species	2178261	21	0	0.0
Blautia hansenii	1322	species	3065949	32	28	0.0
Streptococcus acidominimus	1326	species	2330811	16	8	0.0
Streptococcus anginosus	1328	species	2557124	50	29	0.0
Streptococcus dysgalactiae	1334	species	2149105	34	15	0.0
Streptococcus equinus	1335	species	2311542	31	12	0.0
Streptococcus equi	1336	species	2140495	30	23	0.0
Streptococcus intermedius	1338	species	2452858	48	29	0.0
Streptococcus iniae	1346	species	8406582	19	10	0.0
Streptococcus parauberis	1348	species	2148082	31	22	0.0
Streptococcus uberis	1349	species	1858097	23	16	0.0
Enterococcus	1350	genus	0	7	0	0.0
Enterococcus faecalis	1351	species	5884349	1477	1140	0.0
Enterococcus faecium	1352	species	24066149	161	86	0.0
Enterococcus hirae	1354	species	4331073	49	32	0.0
Lactococcus lactis	1358	species	5228513	177	124	0.0
Lactococcus garvieae	1363	species	1971402	36	27	0.0
Lactococcus piscium	1364	species	2503066	16	11	0.0
Lactococcus raffinolactis	1366	species	2292235	24	13	0.0
Planococcus	1372	genus	0	25	0	0.0
