gene,A1,A2,A3,B1,B2,B3
gene2765,0.73,0.84,0.18,2.81,0.56,2.89
gene2766,0.17,0,0,0.48,0.25,0.35
gene2767,0.45,0.39,0.24,0,0.06,0
gene2768,12.28,11.85,9.69,37,22.29,37.51
gene2769,1.56,1.74,0.18,2.81,3.1,6.42
gene2770,0.33,0.26,0.24,1.98,0.19,1.04
gene2771,8.76,7.73,10.24,17.3,15.23,23.75
gene2772,5.08,2.45,2.06,0.78,1.05,1.73
gene2773,0.06,0.06,0.36,0.36,0.37,1.16
gene2774,33.49,50.55,18.48,15.03,15.67,24.74
gene2775,10.27,6.83,5.75,4.73,2.97,2.95
gene2776,0.84,0.13,0.36,1.38,4.46,8.32
gene2777,0.33,0.26,0.3,0.06,0.06,0.06
gene2778,11.72,12.81,9.21,36.4,23.1,40.22
gene2779,0.39,0.06,0.24,0.96,0.37,2.31
gene2780,30.7,33.94,15.27,15.03,13.75,14.16
gene2781,1.17,0.32,1.09,3.59,2.48,5.03
gene2782,5.64,8.69,3.33,1.2,1.36,3.24
gene2783,1.4,2.32,1.21,5.81,2.91,3.29
gene2784,0.28,0.26,0.73,0.24,0,0.06
gene2785,0.06,0,0.12,0.36,1.24,1.04
gene2786,6.7,6.95,1.88,1.44,1.98,2.66
gene2787,10.27,9.53,4.06,3.53,3.59,3.87
gene2788,0.5,0.26,0.18,1.68,0.31,1.1
gene2789,0.67,0.64,0.55,3.11,1.98,4.57
gene2790,28.97,30.52,58.28,20.72,23.04,24.5
gene2791,5.41,3.28,5.33,17.72,9.29,15.72
gene2792,9.82,10.3,3.39,19.52,10.34,20.92
gene2793,0.33,0.45,0,1.32,0.8,2.54
gene2794,7.59,0.58,11.09,0.6,1.49,0.75
gene2795,1.51,0.77,1.03,4.13,3.1,8.67
gene2796,0.45,0.52,0.12,1.98,0.68,0.92
gene2797,6.87,4.12,2.97,13.35,8.24,9.3
gene2798,1.56,1.09,0.36,3.53,0.68,5.89
gene2799,17.53,1.8,13.69,0.78,0.06,1.62
gene2800,3.63,6.44,4.54,1.38,2.54,2.72
gene2801,4.47,5.8,4.42,1.8,2.54,2.54
