gene,A1,A2,A3,B1,B2,B3
gene1557,0.28,0.64,0.24,0.06,0.06,0.06
gene1558,4.91,3.22,1.33,8.38,15.17,5.03
gene1559,0.95,1.22,0.3,1.92,1.86,2.83
gene1560,1.23,1.48,0.61,0.12,0.37,0.35
gene1561,0.45,0.06,0.42,1.44,1.61,0.75
gene1562,0.06,0.26,0.24,1.14,0.93,0.58
gene1563,0.33,0.19,0.06,0.48,1.24,0.46
gene1564,42.59,21.44,39.19,6.71,1.98,7.22
gene1565,19.2,9.98,14.3,1.74,1.36,1.56
gene1566,9.1,6.5,5.03,35.74,7.74,15.37
gene1567,2.79,1.74,1.7,0.48,0.06,0.17
gene1568,5.02,7.73,2.12,16.23,12.38,18.09
gene1569,10.89,10.82,6.66,19.94,14.61,30.11
gene1570,0.56,0.64,0.12,2.45,1.11,3.76
gene1571,0.61,0.39,0.12,0.84,0.43,2.72
gene1572,7.82,6.89,0.24,0.84,1.05,0.75
gene1573,5.02,4.31,4.24,16.29,9.16,11.73
gene1574,0.89,1.42,1.03,7.07,3.78,4.45
gene1575,12.73,8.44,9.39,20.3,23.65,16.12
gene1576,58.17,63.69,49.98,25.63,40.25,32.25
gene1577,13.34,12.04,9.93,38.02,23.72,38.38
gene1578,60.85,57.76,63.91,38.8,41.12,37.22
gene1579,0.39,0.13,1.58,2.63,1.18,6.13
gene1580,1.12,0.26,0.18,2.1,1.36,2.95
gene1581,1.73,0.71,1.03,3.11,2.17,3.29
gene1582,10.55,10.95,13.75,6.83,2.29,6.01
gene1583,0.06,0.06,0,2.16,0.56,1.44
gene1584,2.74,3.09,1.51,0.24,0.06,0.4
gene1585,5.3,2.7,3.15,11.2,9.35,6.13
gene1586,0.22,0.58,0.55,0.18,0.06,0.17
gene1587,1.45,1.61,0.85,3.17,3.72,4.8
gene1588,0.56,0.26,0.48,0,0.06,0.17
gene1589,14.74,10.95,14.96,41.61,16.1,23.81
gene1590,1.17,0.9,1.94,6.95,3.03,6.3
gene1591,0.61,0.39,0.61,0.12,0.31,0.12
gene1592,6.36,17.97,5.57,1.86,4.02,3.06
gene1593,0.22,0.45,0.12,0.24,1.55,1.44
gene1594,0.06,0.13,0.12,0.24,0.37,0.46
gene1595,0.45,0.26,0.42,0.12,0.06,0.06
gene1596,3.46,0.32,7.15,0.12,0.87,0.52
gene1597,0.11,0.13,0.12,1.08,1.42,0.58
gene1598,9.88,8.37,6.78,15.81,12.69,23.81
gene1599,0.28,0.32,0.55,2.45,1.42,4.28
gene1600,8.21,4.38,8.24,21.14,5.26,32.13
gene1601,0.89,0.84,0,1.32,2.04,2.02
gene1602,2.79,1.16,0.97,3.65,6.07,3.93
gene1603,9.6,1.93,8.36,15.99,17.96,16.99
gene1604,1.56,1.74,0.97,4.31,2.11,4.74
gene1605,4.19,6.57,2.67,1.32,1.55,2.14
gene1606,4.63,2.32,3.63,9.4,5.88,11.56
gene1607,44.55,40.37,19.45,13.05,17.71,19.25
gene1608,0.61,0.32,0.12,1.08,0.99,1.27
gene1609,11.11,4.51,15.81,43.23,21.67,29.59
gene1610,25.73,19.58,9.27,7.36,7.24,12.83
gene1611,0.33,1.42,0.55,2.51,1.67,2.89
gene1612,0.17,0,0,0.42,0.43,0.87
gene1613,0.67,0.32,0.48,3.23,0.68,4.68
gene1614,0.73,0.58,0.61,1.02,1.73,2.43
gene1615,8.6,0.84,15.33,0.48,2.66,1.44
gene1616,27.41,26.34,29.08,15.45,16.47,17.22
gene1617,0.39,0.13,0.12,0.96,0.5,1.33
gene1618,0.22,0.19,0.18,0.54,0.56,0.75
gene1619,0.22,0,0.06,0.9,0.25,0.35
gene1620,2.34,2.12,0.36,6.53,5.14,4.16
gene1621,12.11,13.52,19.99,6.83,9.04,7.05
gene1622,0.89,0.77,0.73,4.25,0.5,3.81
gene1623,5.14,4.25,2.12,22.39,11.08,23.29
gene1624,0.73,0.13,0,3.47,0.31,2.54
gene1625,2.29,2,0.97,5.93,2.35,5.78
gene1626,31.65,12.81,45.98,9.4,18.08,18.38
gene1627,0,0.13,0,0.24,0.43,0.52
gene1628,0.22,0,0.24,0.3,0.68,0.64
gene1629,16.69,9.47,13.57,1.08,1.3,1.5
gene1630,37.79,17.84,37.86,19.58,13.19,8.73
gene1631,0.67,0.58,0.24,0,0.12,0.23
gene1632,0.28,0.32,0.12,0.48,1.05,0.46
gene1633,0.06,0.13,0,0.24,0.31,0.29
gene1634,2.01,2.25,2.79,0.66,0.99,0.75
gene1635,0.11,0.06,0,0.6,0.25,0.81
gene1636,1.79,1.29,0.48,4.13,1.61,5.14
gene1637,1.84,1.03,0.48,8.26,1.36,7.57
gene1638,5.25,9.59,1.33,14.85,12.38,13.99
gene1639,0.39,0.39,0.24,1.44,1.3,2.83
gene1640,33.77,39.67,42.4,15.81,22.23,30.98
gene1641,7.65,16.36,2.91,17.6,19.82,22.37
gene1642,0.11,0.39,0.12,0.48,1.11,0.64
gene1643,21.71,24.21,6.12,65.98,35.85,65.71
gene1644,13.45,12.04,7.09,19.16,14.86,29.42
gene1645,0.61,0.06,0.61,2.51,0.31,3.24
gene1646,0.06,0,0.24,0.3,0.25,1.04
gene1647,1.4,2.51,0.97,0.54,0.56,0.35
gene1648,1.17,0.84,0.36,0.24,0.06,0.46
gene1649,19.48,21.38,14.36,43.47,34.86,30.8
gene1650,3.07,2.06,1.45,9.7,3.72,5.89
gene1651,1.17,1.74,0.85,5.93,2.97,6.18
gene1652,0.33,0.26,0.24,2.04,0.62,2.89
gene1653,0.73,0.26,0.3,2.57,1.11,0.98
gene1654,7.26,8.69,12.96,5.87,3.1,4.62
gene1655,0.95,1.42,1.39,0.66,0.56,0.29
gene1656,3.41,3.41,4.3,1.8,1.36,1.39
gene1657,28.58,20.16,12.9,64.48,28.92,82.36
gene1658,1.12,0.64,0.48,3.11,0.68,2.77
gene1659,2.9,3.03,1.03,12.21,7.06,10.92
gene1660,0.17,0.32,0,0.3,0.43,1.21
gene1661,0.84,0.26,0.79,0.18,0.12,0.4
gene1662,9.38,6.7,6.36,17.96,14.43,21.27
gene1663,46.28,61.05,62.03,21.43,47.56,33.64
gene1664,0.84,0.06,0.42,1.02,1.05,2.49
gene1665,5.92,5.09,1.64,15.45,10.84,8.67
gene1666,1.23,0.39,0.85,9.88,2.23,6.47
gene1667,25.9,26.08,58.46,18.92,22.35,20.63
gene1668,4.74,4.96,3.09,2.51,1.05,2.08
gene1669,8.71,7.15,7.39,21.91,14.74,30.05
gene1670,1.79,1.55,0.91,2.93,4.33,3.41
gene1671,24.39,26.59,14.11,57.72,38.39,33.58
gene1672,0.22,0.32,0.06,0.3,0.56,1.16
gene1673,0.28,0.26,0.18,0.96,0.31,0.81
gene1674,0.28,0.06,0.36,1.32,0.56,2.2
gene1675,26.12,26.4,26.78,13.83,17.03,13.23
gene1676,1.12,0.77,0.12,2.39,1.92,2.02
gene1677,14.57,23.83,6.66,29.88,31.15,26.24
gene1678,1.51,1.22,1.33,0.24,0.68,0.75
gene1679,0.5,0.32,0.48,0.06,0.12,0.06
gene1680,17.64,14.04,3.51,41.79,17.59,26.93
gene1681,6.03,4.51,2.36,18.38,5.39,10.69
gene1682,1.73,2.06,1.27,0.24,0.5,0.75
gene1683,10.44,10.95,4.85,17.9,16.04,25.2
gene1684,53.03,27.56,94.99,29.04,20.12,24.1
gene1685,18.14,18.55,9.81,42.81,18.82,39.13
gene1686,0.84,0.71,0.85,2.34,1.67,3.87
gene1687,0.56,0.58,8.06,0.3,0.31,1.73
gene1688,0.17,0,0.06,0.54,0.25,0.35
gene1689,1.12,0.58,0.55,0.36,0.25,0.35
gene1690,3.85,1.03,0.48,13.11,3.47,5.43
gene1691,5.97,4.38,3.82,9.1,7.24,26.12
gene1692,10.55,3.41,14.24,2.57,4.27,4.97
gene1693,1.28,0.97,1.15,2.45,2.48,3.24
gene1694,2.46,1.42,3.51,1.14,0.74,0.52
gene1695,35.11,15.26,68.63,17.36,14.3,19.3
gene1696,0.95,0.26,1.21,0.18,0.19,0.12
gene1697,0.22,0.06,0.48,1.8,0.43,0.52
gene1698,1.17,0.84,0.97,4.85,5.45,5.03
gene1699,0.33,0.58,0.73,0,0.12,0.35
gene1700,0.33,0.26,0.79,0.06,0,0.12
gene1701,0.11,0.13,0.12,0.42,0.37,0.81
gene1702,8.82,7.34,4.79,21.43,12.14,12.25
gene1703,0.39,0.58,0.61,0,0.06,0.23
gene1704,52.92,34.26,43.74,19.22,11.02,25.2
gene1705,0.39,0.13,0.12,0.54,0.37,3.64
gene1706,0.28,0.06,0.06,0.78,0.5,0.87
gene1707,4.74,5.6,3.7,8.98,7.68,14.62
gene1708,0.89,0.52,0.3,2.63,0.5,2.43
gene1709,0,0.13,0,0.42,0.37,0.64
gene1710,0.33,0.45,0.97,1.56,0.68,3.35
gene1711,0.33,0.45,0.67,1.14,0.99,3.06
gene1712,0.56,0.45,0.61,0.96,0.62,3.64
gene1713,1.67,1.67,0.36,0.12,0.12,0.29
gene1714,5.53,3.86,3.45,58.74,22.54,49.24
gene1715,0.11,0.26,0.06,0.24,0.68,0.81
gene1716,1.84,2.64,0.55,5.69,2.72,7.86
gene1717,15.57,9.85,23.56,2.99,8.3,8.44
gene1718,0,0,0,0.9,0.31,0.64
gene1719,0.39,0,0.3,0.78,0.62,1.04
gene1720,2.62,2.7,0.55,9.34,0.56,10.46
gene1721,3.91,5.02,2.12,1.38,1.3,1.1
gene1722,0.06,0,0.18,0.3,0.31,0.58
gene1723,0.17,0.06,0.12,0.66,0.43,0.29
gene1724,23.84,8.24,8.9,7.6,4.4,4.05
gene1725,2.12,0.77,2.6,8.74,1.67,10.81
gene1726,0.11,0.19,0.12,0.3,0.87,0.35
gene1727,1.23,1.67,0.42,2.75,1.98,3.87
gene1728,19.2,5.86,14.72,7.72,4.02,6.7
gene1729,0,0.06,0.06,0.42,0.56,0.23
gene1730,1.9,1.03,0.73,6.47,6.94,7.74
gene1731,0.5,0,0.24,0.66,0.31,2.66
gene1732,0.78,0.77,0.73,4.91,0.5,4.16
gene1733,3.91,1.8,0.24,0.36,0,0
gene1734,2.46,0.39,4.36,0.66,0.56,0.98
gene1735,0.11,0,0.12,0.72,0.31,0.4
gene1736,0.22,0.26,0.12,0.9,0.56,0.35
gene1737,3.18,1.93,1.76,3.65,11.89,12.19
gene1738,8.71,10.37,3.09,24.49,25.51,29.24
gene1739,12.39,1.87,8.66,35.86,12.94,28.95
gene1740,0.22,0.13,0,0.66,0.37,0.29
gene1741,14.46,17.26,5.21,31.49,30.16,28.61
gene1742,0.17,0.39,0.36,1.2,0.25,1.5
gene1743,26.18,20.54,12.72,62.63,33.25,78.72
gene1744,6.25,7.79,3.21,12.39,15.6,11.39
gene1745,0.39,0,0.18,0.78,0.25,1.04
gene1746,4.69,3.54,1.94,12.57,7.8,12.95
gene1747,74.69,32.71,179.86,40.06,48.55,54.5
gene1748,0.06,0.26,0.06,5.81,0.87,5.55
gene1749,3.41,2.77,1.51,9.52,2.66,8.03
gene1750,1.62,1.22,0.55,4.19,1.98,5.26
gene1751,20.99,15.26,30.89,14.73,10.9,11.27
gene1752,22.05,15.39,30.71,13.95,12.57,12.08
gene1753,0.95,0.52,0.36,1.56,1.55,2.2
gene1754,0.22,0,0,0.96,0.25,0.87
gene1755,1.28,0.77,0.73,0.18,0.25,0.29
gene1756,0.11,0.26,0.24,1.68,0.74,0.92
gene1757,6.64,1.67,2.54,17.72,3.1,12.66
gene1758,2.29,1.87,2.36,0.66,0.74,1.39
gene1759,2.62,1.61,0.91,4.07,2.48,9.3
gene1760,0.11,0.19,0,0.72,0.25,1.04
gene1761,3.74,6.05,4.66,1.5,2.23,2.14
gene1762,0.84,0.39,0.24,0.24,0.12,0.06
gene1763,2.96,2.06,0.12,7.66,2.11,8.26
gene1764,6.81,5.02,3.76,22.81,3.9,17.63
gene1765,6.25,7.73,6.42,2.28,3.78,3.53
gene1766,0.78,0.64,0,5.81,1.86,2.83
gene1767,11.83,10.88,6.72,31.91,10.03,21.5
gene1768,12.67,13.91,3.45,43.53,21.36,22.25
gene1769,0.61,0.52,0.97,5.03,4.02,6.47
gene1770,2.74,1.87,4,11.56,6.87,14.28
gene1771,43.99,21.83,39.19,7.36,2.35,6.82
gene1772,6.75,3.22,3.88,18.74,4.71,14.56
gene1773,1.28,0.32,0.97,0.3,0.19,0.12
gene1774,29.64,29.75,23.99,93.52,68.24,75.77
gene1775,0.22,0.26,0,0.66,0.31,0.69
gene1776,5.19,3.93,6.18,1.38,0.8,3.7
gene1777,32.88,13.52,54.58,140.46,53.31,128.42
gene1778,0.33,0.13,0.42,2.1,1.92,3.99
gene1779,0.61,0.19,0.36,2.39,0.31,2.37
gene1780,0.84,0.58,0.67,0.3,0.31,0.23
gene1781,1.4,1.8,3.15,0.48,0.19,0.58
gene1782,0.56,0.13,0.12,2.28,1.05,0.92
gene1783,0.89,0.39,0.24,4.91,1.42,1.73
gene1784,0.56,0.39,0.24,1.08,1.73,1.79
gene1785,0.28,0.77,0.36,1.2,1.61,1.33
gene1786,0.39,0.13,0.06,1.14,0.5,0.46
gene1787,32.88,36.58,32.23,19.16,23.28,19.25
gene1788,0.06,0.13,0,0.3,0.31,0.58
gene1789,5.75,7.02,7.09,3.29,2.85,3.58
gene1790,0.22,0.45,0.12,0.72,0.25,1.56
gene1791,4.74,4.25,2.24,21.26,4.64,10.98
gene1792,3.46,3.48,1.7,1.5,1.05,0.81
gene1793,17.81,19.12,12.05,6.77,6.75,8.9
gene1794,1.34,0.32,4.18,0.6,0.12,0.35
gene1795,1.28,1.35,0.24,5.63,2.41,2.2
gene1796,0.84,0.26,0.12,1.74,0.62,1.21
gene1797,0.61,0.26,0.12,1.62,0.5,1.62
gene1798,0.89,0.64,0.18,1.5,1.86,1.44
gene1799,0.33,0.19,0.12,1.08,0.74,1.33
gene1800,4.97,4.06,1.39,13.41,7.37,10
gene1801,2.4,2.25,0.24,0.18,0.74,0.35
gene1802,5.36,3.35,1.58,11.8,7.74,12.54
gene1803,0.11,0.06,0.12,0.3,0.37,1.04
gene1804,4.19,8.24,8.66,3.05,1.42,2.54
gene1805,92.94,77.34,101.47,55.68,46.26,48.14
gene1806,0.11,1.03,0.12,0.24,2.17,4.57
gene1807,64.59,55.51,60.4,38.92,40.74,36.58
gene1808,0.56,0.19,0.06,2.04,0.25,0.92
gene1809,62.3,58.66,61.12,37.06,38.14,40.11
gene1810,61.63,54.48,60.94,35.86,39.94,37.33
gene1811,0.17,0.06,0.18,0.6,0.31,0.46
gene1812,1.45,0.39,1.27,0.18,0.37,0.64
gene1813,1.17,0.52,0.36,1.98,1.24,2.66
gene1814,0.17,0.13,0.12,0.42,0.87,0.87
gene1815,5.14,9.02,3.03,13.23,15.42,11.79
gene1816,2.07,1.48,0.36,0.24,0.8,0.17
gene1817,9.99,9.53,3.21,14.37,17.59,21.67
gene1818,10.66,16.94,5.15,23.23,15.79,28.72
gene1819,12.73,13.07,10.24,34.55,20.37,38.72
gene1820,3.07,2.58,2.06,11.97,3.34,12.14
gene1821,3.35,2.96,2.54,9.58,5.94,10.58
gene1822,47.73,24.34,79.66,19.04,32.39,31.21
gene1823,47.28,24.21,79.78,20.06,32.94,32.83
gene1824,1.28,1.09,0.79,4.49,0.56,5.26
gene1825,0.33,0.19,0.12,0.96,0.74,1.33
gene1826,37.34,50.03,20.84,59.45,69.54,62.76
gene1827,3.13,1.48,0.91,20.18,14.74,30.63
gene1828,1.12,0.84,0.79,3.95,1.24,2.31
gene1829,5.19,3.22,1.15,11.26,2.79,11.1
gene1830,0.5,0.32,0.79,2.69,1.36,1.27
gene1831,10.1,7.21,6.24,18.44,12.94,23.18
gene1832,0.28,0.39,0.24,2.51,1.18,2.08
gene1833,1.56,1.74,0.48,5.75,1.18,6.59
gene1834,0.56,0.58,0.91,6.83,1.42,13.06
gene1835,2.01,3.22,1.45,7.48,5.88,12.95
gene1836,0.67,0.71,0.3,1.56,1.73,1.21
gene1837,7.09,4.38,4.66,20.18,4.4,18.84
gene1838,0.28,0.13,0.12,1.44,0.31,0.52
gene1839,16.8,18.74,9.75,2.34,3.65,3.53
gene1840,4.19,2.83,12.66,1.62,1.3,4.62
gene1841,23.89,15.97,3.45,6.29,7.18,1.85
gene1842,9.1,11.91,0.67,0.84,0.87,1.39
gene1843,0.67,0.97,1.09,0.18,0,0.23
gene1844,10.83,6.25,28.53,5.81,7.43,7.17
gene1845,42.98,24.86,53.01,25.69,23.9,20.4
gene1846,0.67,0.39,0.3,1.38,1.11,2.31
gene1847,0.33,0.13,0.61,0.78,1.67,1.96
gene1848,2.18,2.12,0.73,0.48,0.25,0.58
gene1849,67.54,34.64,112.92,27.54,39.51,43.23
gene1850,0.06,0.39,0.18,0.84,3.59,5.32
gene1851,3.52,5.86,4.79,1.86,2.6,2.2
gene1852,3.41,0.26,0.91,13.11,3.22,9.36
gene1853,0.73,0.39,0.48,3.29,1.86,1.39
gene1854,28.3,21.31,11.69,10.36,7.43,10.4
gene1855,0.28,0.13,0,0.6,0.43,0.58
gene1856,0.56,0.77,0.48,1.62,1.67,2.72
gene1857,3.01,1.74,1.7,8.32,2.29,7.34
gene1858,0.39,0.06,0.3,2.39,2.17,0.92
gene1859,6.03,3.03,6.78,1.98,1.49,2.2
gene1860,1.28,0.39,0.48,1.8,1.42,5.32
gene1861,26.91,20.48,13.33,62.81,31.08,82.07
gene1862,0.33,0,0.06,1.08,0.99,0.81
gene1863,2.79,2.06,0.79,4.85,4.89,4.05
gene1864,0.28,1.03,0.3,0.06,0.31,0.12
gene1865,8.26,6.37,3.94,17.84,9.1,19.71
gene1866,18.53,14.87,16.9,7.48,9.1,10.75
gene1867,0.95,0.39,0.3,2.16,0.93,1.39
gene1868,2.68,1.93,1.94,0.42,0.87,1.21
gene1869,14.57,16.03,4.24,27.12,15.73,33.64
gene1870,3.18,4.51,1.15,0.84,0.8,1.73
gene1871,6.92,3.09,7.09,1.98,2.17,3.58
gene1872,2.29,1.61,1.7,0.84,0.74,0.87
gene1873,3.52,2.06,7.09,1.2,1.98,2.2
gene1874,3.01,8.44,4.24,7.6,13.13,22.77
gene1875,0.67,1.16,0.42,0.48,0,0.29
gene1876,0.22,0.58,0.36,0.06,0.06,0.23
gene1877,0.17,0,0.12,0.42,0.43,0.29
gene1878,6.08,4.57,6.18,20.12,7,13.64
gene1879,2.57,2.83,2.24,5.57,6.25,8.26
gene1880,1.73,1.48,1.7,0.84,0.8,0.4
gene1881,14.4,17.97,8.54,25.27,24.77,28.61
gene1882,0.61,0.84,0.12,1.5,1.61,4.05
gene1883,2.01,1.93,0.91,3.89,4.46,9.42
gene1884,0.95,2.19,0.91,4.97,3.9,13.18
gene1885,2.96,2.32,3.09,6.95,4.64,13.81
gene1886,0.45,0.77,0.61,2.34,1.18,1.39
gene1887,8.43,8.31,7.09,46.88,25.82,33.87
gene1888,0.33,0.06,0.42,1.2,0.37,0.87
gene1889,0.56,0.19,0.36,1.86,0.56,3.76
gene1890,0.89,0.58,0.42,0.18,0.19,0.17
gene1891,4.47,5.8,6.72,8.56,14.06,16.01
gene1892,0.28,0.32,0.61,0,0.12,0.17
gene1893,3.01,2.9,1.09,0.24,0.06,0.46
gene1894,1.4,1.42,1.27,0.36,0.62,0.81
gene1895,3.63,2.9,1.45,8.2,4.33,7.46
gene1896,23.39,21.7,22.6,42.03,32.76,49.76
gene1897,1.56,0.71,0.55,5.09,0.87,3.41
gene1898,1.17,0.97,0.73,2.99,1.92,3.7
gene1899,31.76,13.52,30.83,63.89,35.23,53.92
gene1900,1.51,0.77,4.12,0.24,0.56,0.4
gene1901,0.84,0.71,0.55,3.89,0.99,2.49
gene1902,22.83,26.47,16.84,8.86,13,13.23
gene1903,0.56,0.97,0.36,2.81,3.59,3.12
gene1904,1.17,0.9,0.42,0.18,0.37,0.35
gene1905,1.62,1.22,0.73,0.48,0.5,0.58
gene1906,0.39,0.64,0.67,0.18,0.31,0.12
gene1907,0.56,0.84,0.12,2.75,0.93,2.14
gene1908,0.61,0.45,0.18,1.32,1.86,1.39
gene1909,26.79,31.42,14.05,8.08,15.42,7.46
gene1910,5.3,3.73,4,12.03,6.19,18.49
gene1911,0.67,0.32,0.06,2.39,0.43,1.44
gene1912,7.48,3.67,6.54,24.79,9.47,12.14
gene1913,1.23,0.84,0.55,3.11,1.49,2.66
gene1914,0.5,0.32,0.55,1.26,0.87,2.31
gene1915,0.06,0.26,0.06,3.77,0.43,4.1
gene1916,42.65,14.1,79.78,25.57,22.79,20.63
gene1917,0.06,0.06,0.06,1.02,0.31,0.58
gene1918,39.97,42.63,16.23,18.32,17.83,19.36
gene1919,1.4,2.12,0.42,2.99,3.22,4.74
gene1920,0.78,0.64,0.73,2.28,0.74,2.83
gene1921,3.8,0.32,6.12,0.18,0.56,1.21
gene1922,0.33,0.45,0.36,0,0.06,0.23
gene1923,24.39,21.38,10.54,58.56,22.48,46.24
gene1924,0.61,0.45,0.97,0.48,0.06,0.17
gene1925,0.56,0.26,0.36,0.12,0.12,0.12
gene1926,0.61,0.06,0.3,0.9,0.8,1.56
gene1927,0.67,0.32,0.06,1.62,0.37,1.16
gene1928,10.89,9.59,6.3,28.98,15.54,25.43
gene1929,0.28,0.26,0.06,1.02,0.5,0.69
gene1930,1.28,0.26,0.67,0.3,0.31,0.17
gene1931,6.08,0.26,8.3,0.3,0.06,1.27
gene1932,0.06,0.13,0.12,0.36,0.37,0.4
gene1933,0.84,0.26,0.3,2.16,1.61,1.27
gene1934,0.95,0.71,0.12,1.5,1.42,3.06
gene1935,0.28,0.26,0.18,1.92,0.37,1.16
gene1936,1.23,0.71,2.42,0.3,0.19,0.87
gene1937,4.47,3.09,3.33,13.83,8.36,5.95
gene1938,2.85,2.9,0.91,6.53,3.65,6.07
gene1939,0.06,0.64,0,3.23,0.99,3.06
gene1940,2.23,1.16,0.24,0.6,0.12,0.35
gene1941,0.17,0.06,0,0.96,0.68,0.23
gene1942,0.84,0.39,0.42,2.93,1.11,1.33
gene1943,0.45,2.25,0.55,0.06,0,0
gene1944,18.14,8.44,14.66,1.5,0.99,2.31
gene1945,3.24,2.7,2.73,1.5,1.3,0.64
gene1946,7.48,4.96,3.39,24.01,3.78,20.23
gene1947,6.08,3.28,2.91,11.91,4.52,14.33
gene1948,6.25,6.05,3.76,1.8,1.55,2.49
gene1949,0.22,0.32,0.18,0.78,1.11,0.87
gene1950,50.13,33.74,25.38,28.32,18.82,14.1
gene1951,2.9,4.7,1.27,5.21,6.63,14.56
gene1952,2.01,3.03,0.36,0.84,0.56,0.4
gene1953,7.03,7.21,7.33,2.39,3.34,3.47
gene1954,1.95,1.42,0.85,0.54,0.62,0.4
gene1955,0.95,0.45,1.09,0.48,0.12,0.35
gene1956,0.61,0.97,0.24,0.18,0.12,0.17
gene1957,4.91,3.35,1.09,8.14,5.45,9.48
gene1958,3.85,5.47,6.12,1.44,3.03,2.54
gene1959,0.61,0.39,0.36,2.45,0.99,1.39
gene1960,7.7,8.24,8.54,2.63,4.58,3.87
gene1961,1.51,0.77,0.85,5.75,1.86,7.74
gene1962,0.39,0.13,0.18,0.36,0.31,1.85
gene1963,2.9,3.22,1.09,9.1,4.15,8.9
gene1964,27.52,40.37,18.05,13.95,20.56,9.02
gene1965,0.45,0.06,0.06,0.96,0.43,0.81
gene1966,2.62,0.52,8.24,0.06,1.11,1.16
gene1967,4.74,2.32,0.91,0,0.12,0
gene1968,26.74,17.58,21.32,83.05,60.37,70.1
gene1969,6.48,4.83,3.76,13.35,7.68,17.05
gene1970,2.34,2.45,2.12,8.5,2.6,12.43
gene1971,0,0,0.18,0.36,2.11,2.43
gene1972,12.62,13.65,8.54,35.51,22.79,36.87
gene1973,1.23,2.12,0.42,0.12,0.25,0.35
gene1974,1.67,0.77,0.61,0.36,0.37,0.52
gene1975,1.28,0.9,1.45,15.87,7.06,11.73
gene1976,6.7,10.62,6.54,21.32,20.68,43.11
gene1977,32.77,26.66,39.01,18.5,21.61,19.65
gene1978,6.36,3.35,3.88,15.09,4.15,14.45
gene1979,0.61,0.71,0.24,2.34,2.35,1.56
gene1980,2.9,2.7,1.03,7.78,4.58,8.67
gene1981,0.67,0.26,0.36,1.92,0.37,1.91
gene1982,1.4,0.71,0.24,2.93,1.73,2.25
gene1983,4.24,4.89,0.85,1.44,0.37,0.92
gene1984,0.28,0.32,0.24,0,0,0.12
gene1985,0.33,0.58,0.55,0.12,0.19,0.17
gene1986,2.23,1.61,1.82,8.26,2.04,9.65
gene1987,0.78,0.52,3.03,0.36,0.74,0.46
gene1988,3.91,4.31,1.82,10.06,5.26,7.8
gene1989,1.28,2.12,1.33,4.91,2.23,7.74
gene1990,1.4,0.71,0.91,0.12,0.31,0.29
gene1991,58.72,52.29,67.67,28.14,50.03,32.25
gene1992,8.82,8.44,4.48,19.4,9.35,18.73
gene1993,1.28,1.93,0.91,3.65,1.92,5.32
gene1994,21.04,26.14,12.12,29.04,39.07,37.68
gene1995,0.95,0.39,0.3,2.1,0.62,2.2
gene1996,6.08,4.31,2.06,12.21,5.51,13
gene1997,1.62,0.52,5.27,0.12,0.74,0.46
gene1998,10.05,8.95,10.66,20.72,20.68,25.72
gene1999,0.95,0.45,0,0.9,3.22,3.06
gene2000,1.17,1.74,1.03,0.12,0.25,0.69
gene2001,2.23,2.58,2.42,9.1,5.51,6.65
gene2002,0.06,0.13,0,8.8,0.8,22.54
gene2003,2.62,1.22,2.3,0.36,0.74,1.16
gene2004,0.11,0,0.18,11.56,1.24,17.45
gene2005,1.17,0.97,0.36,3.11,0.93,2.72
gene2006,0.78,0.9,0.3,0.06,0.31,0.17
gene2007,3.85,4.7,0.97,11.32,8.48,16.18
gene2008,24.73,30.84,5.94,6.11,8.98,12.48
gene2009,2.9,1.67,2.18,6.41,3.59,7.8
gene2010,0.67,0.32,0.12,0.9,0.56,2.25
gene2011,4.8,2.7,4,1.98,0.31,1.39
gene2012,29.19,14.55,40.89,18.38,10.65,11.39
gene2013,5.08,5.34,1.94,11.91,6.81,11.73
gene2014,0.5,1.35,0.42,2.22,1.49,3.81
gene2015,47.11,23.12,74.33,19.64,29.29,30.57
gene2016,0.56,0.52,0.24,2.16,0.31,2.37
gene2017,19.59,26.92,9.45,43.53,47.62,46.87
gene2018,0.61,0.45,0.24,3.05,0.5,1.62
gene2019,6.36,5.02,6.18,2.1,3.03,2.66
gene2020,0.22,0.19,0,1.44,0.56,2.6
gene2021,0.73,1.35,0.97,2.81,2.29,3.12
gene2022,2.07,1.35,0.85,4.37,2.66,6.01
gene2023,0.56,0.32,0,1.74,0.87,0.64
gene2024,0.61,0.32,0.55,0.12,0.31,0.06
gene2025,0.28,0.13,0,0.42,0.56,1.27
gene2026,5.19,4.12,5.57,2.93,1.11,2.43
gene2027,0.06,0.13,0,0.24,0.56,0.29
gene2028,45.05,23.95,78.15,20.18,30.09,32.6
gene2029,70.95,34.9,113.16,25.57,38.27,41.79
gene2030,10.22,9.85,7.45,30.48,15.17,26.82
gene2031,48.23,36.45,30.59,17.9,22.91,25.6
gene2032,0.89,1.61,0.91,3.05,4.64,4.1
gene2033,0.45,0.64,0.3,0.78,1.86,1.91
gene2034,0.22,0.32,0.24,0.06,0,0
gene2035,1.23,0.9,0.3,0.12,0.19,0.46
gene2036,6.36,2.9,4.18,17.66,13.87,17.68
gene2037,3.57,5.02,1.45,0.66,1.55,1.56
gene2038,0.84,0.26,0.24,3.89,1.55,2.77
gene2039,5.64,4.64,14.54,2.28,4.21,3.47
gene2040,1.45,1.09,0.61,2.75,2.29,2.95
gene2041,5.86,4.44,4.97,2.1,0.68,2.08
gene2042,11.11,9.85,14.66,6.59,3.22,4.45
gene2043,0.95,0.13,0.85,5.09,0.37,3.53
